elogio_ou_queixa.4,grupo.4,motivo.4,p5,comentario_p5
QUEIXA,NUTRIÇÃO,TEMPO DE ESPERA,3.0,"Achei a alimentação fraca ( pobre de nutrientes ) e demorada,no dia de eu receber alta, fui almoçar apos as 14h, um absurdo"
QUEIXA,HOTELARIA,QUALIDADE,3.0,"O período que fiquei inter nado faltou papel higiênico nos banheiros, por motivos de não ter pra repor"
QUEIXA,HOTELARIA,LIMPEZA,5.0,Tudo sujo
QUEIXA,HOTELARIA,LIMPEZA,,
QUEIXA,HOTELARIA,LIMPEZA,3.0,E o ambiente que ficamos antes de ir para o leito próximo ao centro cirúrgico não era limpo
QUEIXA,HOTELARIA,LIMPEZA,2.0,A limpeza do hospital fica a desejar
QUEIXA,HOTELARIA,ENXOVAL,1.0,"Enxoval péssimo rasgado, manchado pessimo.cobertor grosso cheio de bolinhas horrível. Estrutura do quartos e péssima coloca dois pacientes no mesmo quarto horrível"
ELOGIO/QUEIXA,MANUTENÇÃO,ESTRUTURA,2.0,"O serviço de limpeza foi MUITO BOA.  A Alimentação muito satisfatório. O enxoval muito satisfatório. A estrutura hospitalar  FOI SIMPLESMENTE INSATISFATÓRIA....... A PACIENTE TELMA PERMANECEU O TEMPO TODO NO MESMO QUARTO , COM UM BEBÊ E SEUS VÁRIOS FAMILARES, O TEMPO TODO ...... A SOLICITAÇÃO PARA REMANEJÁ-LA PARA OUTRO QUARTO NÃO FOI ATENDIDA ...... A PACIENTE TENTOU VÁRIAS VEZES UTILIZAR O MESMO BANHEIRO QUE OS VÁRIOS FAMILIARES DO BEBÊ ...... PRECISOU ESPERAR MUITO PARA O BANHO ..... NA HORA DO BANHO .... O MARIDO ESTAVA TOMANDO BANHO ......  O PEDIDO PARA A TROCA DO QUARTO NÃO FOI ATENDIDO ...... INCLUSIVE NO BALCÃO COM ENFERMEIRAS REGISTRANDO O PEDIDO. A LÓGICA DE ACOMODAR UM BEBÊ, CUJA MÃE TEVE PROBLEMAS E FICOU NA UTI, IR PARA O QUARTO JUNTO COM VÁRIOS FAMILIARES, CHEGANDO AO EXPRESSIVO NÚMERO DE 08 (OITO) PESSOAS, E QUE FALAVAM ALTO O TEMPO TODO ..... E AO LADO UMA PACIENTE , VINDA DE UMA CIRURGIA TENTANDO DORMIR ...... REALMENTE INCOMPREENSÍVEL .......  E PORTANTO, A ESTRUTURA HOSPITALAR FOI MUITO RUIM ......"
QUEIXA,HOTELARIA,LIMPEZA,1.0,A limpeza dos banheiros é muito mal feita
QUEIXA,HOTELARIA,QUALIDADE,2.0,Deixou a desejar. Atendimento muito demorado pede lençol cobertou que estava com frio passou umas 3 horas. E só trocarão quando quiseram fiquei com dor de cabeça por minha pressão subiu.
QUEIXA,HOTELARIA,LIMPEZA,3.0,Demora para higienizar o banheiro.
QUEIXA,NUTRIÇÃO,TEMPO DE ESPERA,3.0,"Solicitei várias vezes pra trazer a comida pra meu filho, que já estava com muita fome e demorou muito. A alimentação do meu filho demorou pra chegar, a criança já tinha ficado muito tempo em jejum e estava com muita fome, meu esposo teve que sair e comprar fora."
QUEIXA,HOTELARIA,LIMPEZA,2.0,"Sanitários sujos ,me impossibilitando de ultilizar a maioria das vezes que necessitei."
QUEIXA,HOTELARIA,QUALIDADE,1.0,"Quando eu fui para o quarto me colocaram num leito onde tinha acabado de sair uma paciente de forma que as roupas do leito estavam sujas, quando eu e meu esposo percebemos esse erro grotesco meu esposo procurou a recepção informou e foi orientado entrar em contato com a copa, sendo que demorou para que as roupas de copa só foram trocadas depois de muito tempo. Banheiro do quarto estava sujo. "
QUEIXA,HOTELARIA,LIMPEZA,1.0,"limpeza do banheiro precaria, um pre operatorio de dar nojo, roupas hospitalares jogadas por todos os lados"
QUEIXA,HOTELARIA,LIMPEZA,3.0,"O quarto que fiquei qdo meu filho ainda estava em observação após a cirurgia, estava sujo. Tive que chamar a equipe pra higienizar. Também apenas levaram a gente pra lá e não se preocuparam em saber se estávamos bem acomodados. Só ligaram o ar muito depois e estava bem quente esse dia"
QUEIXA,HOTELARIA,LIMPEZA,3.0,Limpeza superficial
QUEIXA,HOTELARIA,TEMPO DE ESPERA,3.0,A demora
QUEIXA,NUTRIÇÃO,FALTA DE ALIMENTAÇÃO,,"Mas o hospital deixou a deseja sem estrutura nenhuma, o acompanhante que a gente leva se não tiver dinheiro não oferece um copo com água para o acompanhe demora para ser atendida tudo muito ruim não irá novamente para esse hospital. "
QUEIXA,HOTELARIA,ENXOVAL,1.0,"Sem trocas de lençóis; banheiro compartilhado com outras visitas, não foi feito a limpeza"
QUEIXA,HOTELARIA,LIMPEZA,3.0,A limpeza deixou a desejar.
QUEIXA,NUTRIÇÃO,QUALIDADE,3.0,Alimentação
QUEIXA,HOTELARIA,LIMPEZA,3.0,"Vomitei o quarto todo e tivemos que chamar alguém p limpar, demoraram e ainda deixou a cama suja...
Precisei de lençol e meu esposo pediu 3 vezes, só depois foram levar .
Muita demora..."
QUEIXA,NUTRIÇÃO,QUALIDADE,1.0,Alimentação péssima. Qualidade dos alimentos péssima .
QUEIXA,NUTRIÇÃO,TEMPO DE ESPERA,3.0,"Meu café da manhã demorou de mais ,quando veio estava muito frio o leite"
QUEIXA,HOTELARIA,ENXOVAL,3.0,"enxoval fica a desejar,cama sem  cobertores , sem travesseiro, etc"
QUEIXA,NUTRIÇÃO,QUALIDADE,3.0,Tem q melhorar na refeição
QUEIXA,HOTELARIA,ENXOVAL,3.0,"Inicialmente na emergência senti um pouco de descaso não tive o apoio para minha esposa em rapidez estava com hemorragia. 

A enfermagem deixou a desejar alguns. Outros se destacaram

Ref. Alimentação e enxoval tive q ficar correndo atrás 

Água
Copo
Cobertor"
