elogio_ou_queixa.3,grupo.3,motivo.3,p4,comentario_p4
QUEIXA,MÉDICO ,TEMPO DE ESPERA ,1.0,"Fui entrar no pre operatório eram 13h:30 , desde 6h no hospital de jejum e sem tomar água, não colocaram nenhum soro para hidratação,  foi um absurdo,  muitas pessoas da equipe perguntando sempre as mesmas coisas,  uma espera que não tinha fim"
QUEIXA,MÉDICO ,NÃO COMPARECEU ,,dois dias sem ver o médico só no dia da alta que o mesmo passou 
QUEIXA,MÉDICO ,CAPACIDADE TECNICA,5.0,Só fiquei triste por uma coisa que minha cirurgia não teve muito sucesso vou ter que fazer outra cirurgia.
QUEIXA,MÉDICO ,CAPACIDADE TECNICA,2.0,Pq a médica nem se quer sabia qual foi a minha cirurgia
QUEIXA,MÉDICO ,FALTA DE INFORMAÇÃO,1.0,"Divergência de informações, falta de resolução de problemas."
QUEIXA,MÉDICO ,ACOLHIMENTO,3.0,Deveria ter mais cuidafo com os pacientes
QUEIXA,MÉDICO ,QUALIDADE,2.0,"Fui atendida inicialmente por uma equipe maravilhosa e no dia seguinte por um médica, que não sabia os procedimentos de documentação da alta, além de arrogante."
QUEIXA,MÉDICO ,FALTA DE INFORMAÇÃO,3.0,Dificuldade p conseguir informações
ELOGIO/QUEIXA,MÉDICO ,TEMPO DE ESPERA ,3.0,"Depois de todo sofrimento aguardando ,o médico veio conversou comigo e foi tudo de boa"
ELOGIO,MÉDICO ,QUALIDADE,5.0,"Dr Rúbiana está de parabéns, e uma excelente médica passa muita confiança para os pais. A equipe dela também, excelente."
QUEIXA,MÉDICO ,FALTA DE INFORMAÇÃO,1.0,"Comecei o tratamento com uma médica e a cirurgia foi feita por outro especialista, a informação inicial que seria algo simples, porém no dia da cirurgia foi constatado algo mais sério, mas correu tudo bem. "
ELOGIO,MÉDICO ,QUALIDADE,,"Dr. Gustavo médico maravilhoso, amei, faria tudo novamente com doutor. "
QUEIXA,MÉDICO ,CAPACIDADE TECNICA,1.0,"Paciente informa que retornou a emergencia depois de 4 dias, com diagnostico de calculo renal, mas que não foi investigado no dia da sua cirurgia"
QUEIXA,MÉDICO ,FALTA DE INFORMAÇÃO,3.0,Equipe médica não passou na alta; nem no quarto para esclarecimentos
QUEIXA,MÉDICO ,ACOLHIMENTO,3.0,Só conheci o médico na hora da cirurgia e depois só o vi no quarto para entregar receita. Não tive muito contato com ele
