elogio_ou_queixa.1,grupo.1,motivo.1,p2,comentario_p2
,NÃO SE APLICA,,2.0,Não tive esse tipo de atendimento
,NÃO SE APLICA,,1.0,Não passei por esses especialistas
,NÃO SE APLICA,,3.0,Em 1 dia não dá pra avaliar o profissional
,NÃO SE APLICA,,3.0,não precisei de atendimento com eles
QUEIXA,TODOS,ACOLHIMENTO,3.0,Demora em conseguir profissional
,NÃO SE APLICA,,3.0,Não  fiz fisioterapia ai com vcs.
,NÃO SE APLICA,,3.0,Não tive nenhum atendimento com essas especialidades
,NÃO SE APLICA,,3.0,nao tive atendimento  para essas espicialidades
,NÃO SE APLICA,,2.0,"Na verdade nenhum destes fui atendida, então tive que opinar algum número"
,NÃO SE APLICA,,3.0,Não tive esses atendimentos
QUEIXA,FISIOTERAPEUTA,QUALIDADE,3.0,"ué minha resposta foi média, muito pouco tempo de fisioterapia, pô isso estou com problemas nas fisioterapia externas pois não consigo esticar a perna e nem dobrar fortes dores, super aquecimento, mt quente o joelho e NÃO DESINCHOU ATÉ AGORA 29 VAI FAZER 2 MESES DE CIRURGIA"
,NÃO SE APLICA,,1.0,Péssimo porque nao vi nenhum
,NÃO SE APLICA,,3.0,N fui atendido por nenhum
,NÃO SE APLICA,,,
,NÃO SE APLICA,,1.0,NÃO OCORREU ENCONTRO COM OS PROFISSIONAIS CITADOS
QUEIXA,TODOS,ACOLHIMENTO,1.0,Nao tem carinho com o peoblema dos paciente
QUEIXA,TODOS,ACOLHIMENTO,2.0,Não dar atenção devido
,NÃO SE APLICA,,3.0,Não tive contato com esses profissionais
,NÃO SE APLICA,,1.0,Nunca tive esse suporte .
,NÃO SE APLICA,,1.0,"Nem tive esse apoio ,existi ?"
,NÃO SE APLICA,,,
,NÃO SE APLICA,,,
,NÃO SE APLICA,,3.0,Não utilizamos esses serviços
QUEIXA,ASSISTENTE SOCIAL,CONDUTA,3.0,Assistente social super grossa
,NÃO SE APLICA,,3.0,Não tive atendimento
,NÃO SE APLICA,,3.0,Não tive esse atendimento
QUEIXA,TODOS,QUALIDADE,3.0,"Os profissionais são ótimos, mas a quantidade de pacientes que eles tem que atender é maior do eles conseguem, portanto o ideal seria ter a quantidade de profissional suficiente para não sobrecarregar os próprios profissionais e não deixar os pacientes que precisam desses profissionais um dia para fazer o procedimento"
,NÃO SE APLICA,,1.0,Não tive nenhum desses atendimentos
